"","gene","lambda","model","AIC","p_value","slope","slope_se","intercept","intercept_se","r_squared"
"1","uvrA",0.274902355670793,"linear",701.334075326813,0.933135739240784,0.0438073261824258,0.521583776160446,-1.77151619237425,0.517218981632759,-0.00417191768906378
"2","uvrA",0.274902355670793,"pagel",698.128605334411,0.714999189425274,0.191737219896195,0.524466311498862,-2.06393197653887,0.542211252630488,0.000567276189393683
"3","mutT",0.277735981719245,"linear",700.405449513094,0.335905906179932,0.227416451222392,0.235851240244644,-1.9359565000353,0.22529658090283,-0.000294008357070163
"4","mutT",0.277735981719245,"pagel",698.17068254859,0.760883957170345,0.0899461599319438,0.295225136557015,-1.95321478177224,0.312553816540717,0.000609856325985828
"5","mutY",0.280820262474938,"linear",701.16310047363,0.674630281197473,0.106518151541351,0.25342102137305,-1.82696827847061,0.243732533770583,-0.00345680516485736
"6","mutY",0.280820262474938,"pagel",698.188467175233,0.786927477888877,0.0928386876843537,0.343075113405967,-1.96109338603627,0.360440748902174,0.000563567077947581
"7","mutL",0.246849692845361,"linear",700.685291943682,0.420446732098501,-0.13908044324138,0.172333096332369,-1.6148566263144,0.155736749488979,-0.00146104155528604
"8","mutL",0.246849692845361,"pagel",696.254031543404,0.158639369188281,-0.381284529707392,0.269630560171737,-1.59725439262766,0.260011799160362,0.0199905511659051
"9","mutS",0.252443299382615,"linear",700.918582068543,0.517833827638591,-0.113715352869304,0.175580750478429,-1.63462382217769,0.159479136407615,-0.0024349772128196
"10","mutS",0.252443299382615,"pagel",696.910966125447,0.247488149111284,-0.318200729153411,0.274472212081337,-1.63259192807968,0.268251297504369,0.0135358304840344
"11","mutH",0.270508171671178,"linear",696.114360717671,0.0229483177309845,0.486479599330701,0.212517068450155,-1.78114094488902,0.0699479304539231,0.0174318477655546
"12","mutH",0.270508171671178,"pagel",697.045245583775,0.255646623811199,0.355404160532183,0.311899053416433,-1.87747628395731,0.156390993353677,0.0115963457960351
"13","dnaQ",0.207219412598241,"linear",697.420098668953,0.0488568445430846,0.73053720188026,0.368960434422468,-2.43462495011245,0.362758977049835,0.0120715438951075
"14","dnaQ",0.207219412598241,"pagel",696.376366149725,0.155453247583386,0.564128792871428,0.395866404094037,-2.37469319576802,0.392169994338202,0.00971868560686941
"15","ung",0.0944074842915759,"linear",689.915370513062,0.000772188112627995,0.531913785833859,0.156144000361435,-2.14067217231611,0.13745994092053,0.0424857708963097
"16","ung",0.0944074842915759,"pagel",691.046510989061,0.00288214559248951,0.52765963016052,0.175228681962316,-2.20008359759596,0.169254927888473,0.0457851854316733
"17","mutM",0.166623000739594,"linear",695.211751735953,0.013783763683343,0.415587885575188,0.167490790995786,-2.06437252913481,0.150586547972537,0.0211202195040966
"18","mutM",0.166623000739594,"pagel",695.724149073458,0.0918381441415866,0.338035701768204,0.199712588118617,-2.07106983522342,0.19304977767754,0.0168117133443059
"19","uvrD",0.279162146865357,"linear",700.686760260669,0.420967323827661,0.483837632085518,0.600191158070115,-2.20622864997931,0.596428167005657,-0.00146716850010464
"20","uvrD",0.279162146865357,"pagel",697.503688435131,0.386118826615794,0.512451083761859,0.590194878108163,-2.37726679880604,0.602698007896514,0.00305362946671067
"21","nfi",0.250483096288926,"linear",695.279562160335,0.014317848539169,0.485068992148904,0.196597539405129,-1.7910937331141,0.0706566925204978,0.0208436043724816
"22","nfi",0.250483096288926,"pagel",694.558388514545,0.0538472631913846,0.410978243192718,0.212099834333146,-1.91730616045425,0.160514423172302,0.0180197276753513
